Currents (pA),Radius (um),Effective area(um^2)
179.2,0.492659753710726,1.52501473225479
65.66,0.180513612883071,0.204738626416929
152.9,0.420355336731976,1.1102301046159
125.5,0.345026780640045,0.747972240422962
33.96,0.0933634220759836,0.0547688209514502
25.7,0.0706548865533798,0.0313663710148704
117.3,0.322483198159979,0.653422451575642
150.9,0.41485690198074,1.08137545575122
144.4,0.396986989039223,0.990221644422516
51.58,0.141804632234371,0.126345769301771
70.37,0.193462426722231,0.23516524102958
90.56,0.248969125535956,0.389467171210312
27.25,0.0749161734855875,0.0352639568755465
27.25,0.0749161734855875,0.0352639568755465
41.36,0.113707630655556,0.0812379748823443
100.25,0.275609041905694,0.477272917224539
103.45,0.284406537507671,0.508228503656329
100.7,0.276846189724722,0.481567278251878
102,0.280420172313025,0.494081248828463
114.2,0.313960624295563,0.61934157804414
121.17,0.33312266940362,0.697249552635757
111.92,0.307692408679154,0.59485817103472
117.33,0.322565674681247,0.653756725749265
124.93,0.343459726735943,0.741193340262241
146.33,0.402292978574166,1.01686845200044
158.82,0.436630703595633,1.19786647916012
21.76,0.0598229700934453,0.0224861866133487
134.62,0.370099643105681,0.860631427249256
45.84,0.126024124498324,0.0997900514242832
52.09,0.143206733095936,0.128856622393244
94.68,0.260295901123502,0.425710661732794
83.33,0.229092283910239,0.329762139507699
41.19,0.113240263701701,0.0805715303220373
102.9,0.282894467951081,0.502838796223355
59.06,0.162368778203993,0.16564751067917
93.04,0.255787184627489,0.411090491747276
183.68,0.504976247553494,1.60221860307519
20.79,0.0571562292390959,0.0205261267879429
18.68,0.0513553805765422,0.0165711165668205
136.3,0.374718328296719,0.882246085692815
60.24,0.165612854707222,0.17233280419345
78.89,0.216885758762495,0.295557470224616
90,0.24742956380561,0.384665332132886
100.1,0.275196659299351,0.475845737608005
80,0.219937390049431,0.303933101932157
80,0.219937390049431,0.303933101932157
167.5,0.460493910415997,1.33237860798189
